geneSymbol,cluster.name,comb.ES,comb.p,comb.padj,comb.ES.rank,comb.positive.freq,sig.N,sig.freq,total.N,ES.max,ES.max.p.adj,TF,kinase,epigenetic regulation,secretory,membrane,enzyme,drug target (FDA),drug target (potential)
RPL32,CD4.c01(Tn),0.75 ,1.64E-46,2.49E-45,1,73.81%,19,0.95 ,20,1.99 ,2.29E-30,,,,,,,,
RPS12,CD4.c01(Tn),0.72 ,8.02E-52,1.64E-50,2,72.95%,19,0.95 ,20,1.90 ,1.78E-28,,,,,,,,
RPL13,CD4.c01(Tn),0.70 ,4.96E-77,4.17E-75,3,70.12%,19,0.95 ,20,1.63 ,1.78E-22,,,,,,,,
RPL34,CD4.c01(Tn),0.68 ,1.36E-54,3.17E-53,4,71.70%,19,0.95 ,20,1.24 ,9.78E-29,,,,,,,,
CCR7,CD4.c01(Tn),0.67 ,2.17E-36,1.98E-35,5,51.33%,19,0.95 ,20,1.67 ,3.31E-23,,,,,TRUE,,,
RPL11,CD4.c01(Tn),0.65 ,4.74E-46,6.99E-45,6,70.54%,19,0.95 ,20,1.77 ,1.70E-25,,,,,,,,
RPL30,CD4.c01(Tn),0.65 ,4.79E-48,7.84E-47,7,71.93%,18,0.90 ,20,1.36 ,1.27E-16,,,,,,,,
RPS14,CD4.c01(Tn),0.64 ,1.81E-66,7.97E-65,8,68.62%,19,0.95 ,20,1.55 ,1.00E-20,,,,,,,,
RPS3A,CD4.c01(Tn),0.64 ,1.20E-37,1.17E-36,9,69.41%,19,0.95 ,20,1.91 ,1.09E-28,,,,,,,,
TCF7,CD4.c01(Tn),0.63 ,2.10E-45,3.02E-44,10,46.53%,17,0.85 ,20,1.24 ,1.22E-28,TRUE,,,,,,,
RPS8,CD4.c01(Tn),0.63 ,7.43E-42,8.94E-41,11,69.05%,18,0.90 ,20,1.94 ,3.40E-29,,,,,,,,
RPS6,CD4.c01(Tn),0.62 ,3.77E-59,1.11E-57,12,67.56%,19,0.95 ,20,1.50 ,1.25E-19,,,,,,,,
RPLP2,CD4.c01(Tn),0.62 ,2.50E-80,2.49E-78,13,68.53%,20,1.00 ,20,1.06 ,1.66E-21,,,,,,,,
RPS27A,CD4.c01(Tn),0.60 ,9.87E-55,2.31E-53,14,68.54%,17,0.85 ,20,1.50 ,1.25E-19,,,,,,,,
RPS13,CD4.c01(Tn),0.60 ,8.76E-38,8.59E-37,15,69.33%,19,0.95 ,20,1.83 ,6.66E-27,,,,,,,,
RPS18,CD4.c01(Tn),0.57 ,8.91E-64,3.33E-62,16,66.04%,18,0.90 ,20,1.49 ,2.07E-19,,,,,,,,
